INFO  - 2016-09-01 23:37:10.200; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2016-09-01 23:37:10.200; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2016-09-01 23:37:10.201; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2016-09-01 23:37:10.201; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2016-09-01 23:37:10.202; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2016-09-01 23:37:10.202; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2016-09-01 23:37:10.202; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2016-09-01 23:37:10.203; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2016-09-01 23:37:10.203; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2016-09-01 23:37:10.203; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2016-09-01 23:37:10.204; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
